Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response.rt,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,1,4,16,8,,,,,,,,,,,,,,,,,,,,,1.742,1.586,222.32659940002486,None,,,,,,,,,,,,,,,,,,,,222.8880960997194,223.3902847999707,0.5038026398979127,1.0040916400030255,223.37359499977902,223.49030969990417,223.37359499977902,223.49030969990417,223.4736196999438,None,m,0,223.4736196999438,None,0.730774600058794,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,1,5,17,11,,,,,,,,,,,,,,,,,,,,,1.584,1.474,224.33033489994705,None,,,,,,,,,,,,,,,,,,,,224.8689826996997,225.37555920006707,0.5131080797873437,1.014368579722941,225.35796369984746,225.47495249984786,225.35796369984746,225.47495249984786,225.45830969978124,None,m,0,225.45830969978124,None,1.3860279000364244,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,,,,,1,6,18,3,,,,,,,,,,,,,,,,,,,,,1.552,1.795,226.96572519978508,None,,,,,,,,,,,,,,,,,,,,227.50565999979153,228.01015330012888,0.5095026800408959,1.0097741801291704,227.9934271001257,228.09346280014142,227.9934271001257,228.09346280014142,228.09346280014142,None,None,0,228.09346280014142,None,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,1,7,19,4,,,,,,,,,,,,,,,,,,,,,1.424,2.011,229.75404360005632,None,,,,,,,,,,,,,,,,,,,,230.292324999813,230.7954661999829,0.5050413799472153,1.0054951799102128,230.77885699970648,230.89552359981462,230.77885699970648,230.89552359981462,230.8788732998073,None,c,1,230.8788732998073,None,1.085478300228715,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,,,,,1,8,20,6,,,,,,,,,,,,,,,,,,,,,1.766,2.017,232.08676770003513,None,,,,,,,,,,,,,,,,,,,,232.62813389999792,233.1304473998025,0.5057206796482205,1.006038979627192,233.11383209982887,233.21385199995711,233.11383209982887,233.21385199995711,233.21385199995711,None,m,1,233.21385199995711,None,0.8144338000565767,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,,,,,1,9,21,5,,,,,,,,,,,,,,,,,,,,,1.462,2.22,234.15336559992284,None,,,,,,,,,,,,,,,,,,,,234.72823400003836,235.2320461999625,0.5089625003747642,1.0092494003474712,235.21534369979054,235.33218119991943,235.21534369979054,235.33218119991943,235.31532459985465,None,None,0,235.31532459985465,None,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,,,,,1,10,22,2,,,,,,,,,,,,,,,,,,,,,1.678,1.382,236.88998039998114,None,,,,,,,,,,,,,,,,,,,,237.43016560003161,237.93404969992116,0.505883080419153,1.006089880131185,237.91731319995597,238.03405159991235,237.91731319995597,238.03405159991235,238.01727959979326,None,m,1,238.01727959979326,None,1.3388986997306347,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,,,,,1,11,23,1,,,,,,,,,,,,,,,,,,,,,1.537,1.304,239.49098709970713,None,,,,,,,,,,,,,,,,,,,,240.03283709986135,240.53580940002576,0.5051980796270072,1.0055240793153644,240.51919090002775,240.635882999748,240.51919090002775,240.635882999748,240.61918919999152,None,m,1,240.61918919999152,None,0.9929999001324177,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,,,,,2,0,24,2,,,,,,,,,,,,,,,,,,,,,1.676,2.017,241.7466405001469,None,,,,,,,,,,,,,,,,,,,,242.28349770000204,242.787392700091,0.5054827802814543,1.005813280120492,242.77079109987244,242.8874842999503,242.77079109987244,242.8874842999503,242.87082100007683,None,m,1,242.87082100007683,None,0.9014069000259042,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,,,,,2,1,25,1,,,,,,,,,,,,,,,,,,,,,1.407,2.46,243.8946597999893,None,,,,,,,,,,,,,,,,,,,,244.43665389996022,244.9390333001502,0.5049226800911129,1.0051434799097478,244.92243549972773,245.03906469978392,244.92243549972773,245.03906469978392,245.02239769976586,None,m,1,245.02239769976586,None,0.8298629997298121,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,2,2,26,10,,,,,,,,,,,,,,,,,,,,,1.691,2.416,245.9810481998138,None,,,,,,,,,,,,,,,,,,,,246.5208491999656,247.0238334001042,0.5063340798951685,1.0066100801341236,247.00721109984443,247.12384800007567,247.00721109984443,247.12384800007567,247.10732599999756,None,None,0,247.10732599999756,None,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,,,,,2,3,27,5,,,,,,,,,,,,,,,,,,,,,1.611,2.085,248.91292600007728,None,,,,,,,,,,,,,,,,,,,,249.4685979001224,249.9760182998143,0.5140321403741837,1.0143157402053475,249.9593635997735,250.07604339998215,249.9593635997735,250.07604339998215,250.0594446999021,None,m,1,250.0594446999021,None,0.7529629999771714,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,2,4,28,4,,,,,,,,,,,,,,,,,,,,,1.47,2.329,250.95030110003427,None,,,,,,,,,,,,,,,,,,,,251.5073388000019,252.01094319997355,0.5098071401007473,1.0098944399505854,251.99434820003808,252.11102369986475,251.99434820003808,252.11102369986475,252.09431259986013,None,m,0,252.09431259986013,None,0.8461368000134826,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,2,5,29,11,,,,,,,,,,,,,,,,,,,,,1.672,1.452,253.07187799969688,None,,,,,,,,,,,,,,,,,,,,253.61239219969139,254.11230059992522,0.5008724802173674,1.0011861799284816,254.09561609989032,254.21238669985905,254.09561609989032,254.21238669985905,254.21238669985905,None,m,0,254.21238669985905,None,0.807818700093776,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,,,,,2,6,30,6,,,,,,,,,,,,,,,,,,,,,1.594,1.658,255.1526696998626,None,,,,,,,,,,,,,,,,,,,,255.6918048998341,256.1971736997366,0.5098160798661411,1.0099393799901009,256.18064979976043,256.2805264997296,256.18064979976043,256.2805264997296,256.2805264997296,None,m,1,256.2805264997296,None,0.9959292002022266,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
