subject,trialnum,shapeassociation,matchingcondition,response,correct,latency
995543580,203,friend,mismatching,47,1,305
995543580,205,self,matching,48,1,565
995543580,207,self,mismatching,47,1,466
995543580,209,friend,mismatching,47,1,446
995543580,211,self,matching,48,1,731
995543580,213,self,mismatching,47,1,463
995543580,215,friend,mismatching,47,1,629
995543580,217,self,mismatching,47,1,615
995543580,219,friend,matching,48,1,498
995543580,221,friend,mismatching,47,1,507
995543580,223,friend,mismatching,47,1,413
995543580,225,self,mismatching,47,1,413
995543580,227,friend,matching,48,1,514
995543580,229,friend,mismatching,47,1,496
995543580,231,self,matching,48,1,581
995543580,233,self,mismatching,47,1,504
995543580,235,self,mismatching,47,1,495
995543580,237,friend,mismatching,47,1,633
995543580,239,self,matching,48,1,597
995543581,1,friend,mismatching,48,1,754
995543581,3,self,mismatching,48,1,592
995543581,5,self,mismatching,48,1,859
995543581,7,friend,mismatching,48,1,696
995543581,9,self,mismatching,48,1,956
995543581,11,self,matching,47,1,634
995543581,13,self,matching,47,1,635
995543581,15,self,matching,47,1,463
995543581,17,friend,mismatching,48,1,850
995543581,19,self,mismatching,48,1,958
995543581,23,friend,mismatching,48,1,898
995543581,25,friend,mismatching,48,1,751
995543581,27,friend,mismatching,48,1,516
995543581,29,self,mismatching,48,1,991
995543581,31,self,mismatching,48,1,704
995543581,33,self,matching,47,1,799
995543581,35,friend,mismatching,47,0,1130
995543581,39,friend,mismatching,48,1,1025
995543581,41,self,mismatching,48,1,895
995543581,43,self,mismatching,48,1,650
995543581,45,friend,matching,47,1,823
995543581,47,friend,matching,47,1,582
995543581,49,self,matching,47,1,1066
995543581,51,self,matching,47,1,583
995543581,53,self,matching,47,1,627
995543581,55,self,matching,47,1,653
995543581,59,self,matching,47,1,545
995543581,65,self,mismatching,48,1,1009
995543581,67,friend,matching,47,1,860
995543581,69,friend,matching,47,1,673
995543581,71,friend,matching,47,1,691
995543581,73,self,matching,47,1,918
995543581,77,friend,matching,47,1,534
995543581,79,friend,mismatching,48,1,715
995543581,81,self,matching,47,1,914
995543581,83,self,matching,47,1,519
995543581,87,self,matching,47,1,748
995543581,89,friend,matching,47,1,1032
995543581,91,friend,matching,47,1,529
995543581,93,friend,mismatching,48,1,788
995543581,95,self,mismatching,48,1,934
995543581,97,friend,mismatching,48,1,991
995543581,99,self,mismatching,48,1,824
995543581,101,self,mismatching,48,1,520
995543581,103,self,matching,47,1,843
995543581,105,friend,matching,47,1,772
995543581,107,friend,matching,47,1,500
995543581,109,self,mismatching,48,1,841
995543581,111,self,matching,47,1,718
995543581,113,friend,mismatching,48,1,1062
995543581,115,self,matching,47,1,697
995543581,117,friend,mismatching,48,1,758
995543581,119,friend,mismatching,48,1,755
995543581,121,friend,matching,47,1,649
995543581,123,self,mismatching,48,1,1102
995543581,125,friend,mismatching,48,1,1016
995543581,127,friend,mismatching,48,1,724
995543581,129,friend,matching,47,1,870
995543581,131,friend,matching,47,1,622
995543581,133,friend,matching,47,1,689
995543581,135,friend,matching,47,1,692
995543581,137,self,mismatching,48,1,856
995543581,139,self,matching,47,1,708
995543581,141,friend,matching,47,1,1139
995543581,143,friend,matching,47,1,542
995543581,145,friend,matching,47,1,538
995543581,147,self,matching,47,1,616
995543581,149,self,mismatching,48,1,871
995543581,151,self,matching,47,1,782
995543581,153,friend,matching,47,1,681
995543581,155,self,matching,47,1,1196
995543581,157,friend,mismatching,48,1,843
995543581,159,friend,mismatching,48,1,792
995543581,161,friend,matching,47,1,627
