,subjectGroup,subject,age,sex,education,handedness,TaskName,BlockNumber,stimPos,stim1,stim2,shape,word,MATCHkey,RT,correct,question,response,condition,TaskType,Association
40451,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,diamond,NA,neutral,NA,Yneutral_j,752,0,NA,k,single,RG_incongruent,neutral
40551,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,rhomboid,NA,happy,NA,Yneutral_j,750,0,NA,j,single,RG_incongruent,happy
40651,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,octagon,NA,you,NA,Yneutral_j,684,1,NA,j,single,RG_incongruent,you
40751,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,rhomboid,triangle,happyfriend,NA,Yneutral_j,618,1,NA,k,pair,RG_incongruent,happyfriend
40851,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,rhomboid,triangle,happyfriend,NA,Yneutral_j,562,1,NA,k,pair,RG_incongruent,happyfriend
40951,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,octagon,NA,you,NA,Yneutral_j,651,0,NA,k,single,RG_incongruent,you
41075,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,diamond,NA,neutral,NA,Yneutral_j,388,1,NA,j,single,RG_incongruent,neutral
41185,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,diamond,NA,neutral,NA,Yneutral_j,452,1,NA,j,single,RG_incongruent,neutral
41254,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,rhomboid,NA,happy,NA,Yneutral_j,494,1,NA,k,single,RG_incongruent,happy
41352,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,rhomboid,triangle,happyfriend,NA,Yneutral_j,834,0,NA,j,pair,RG_incongruent,happyfriend
41452,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,rhomboid,NA,happy,NA,Yneutral_j,828,1,NA,k,single,RG_incongruent,happy
41551,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,diamond,NA,neutral,NA,Yneutral_j,677,1,NA,j,single,RG_incongruent,neutral
41651,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,octagon,NA,you,NA,Yneutral_j,663,1,NA,j,single,RG_incongruent,you
41751,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,diamond,NA,neutral,NA,Yneutral_j,699,0,NA,k,single,RG_incongruent,neutral
41851,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,octagon,NA,you,NA,Yneutral_j,611,1,NA,j,single,RG_incongruent,you
41951,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,triangle,rhomboid,friendhappy,NA,Yneutral_j,559,0,NA,j,pair,RG_incongruent,friendhappy
42051,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,triangle,NA,friend,NA,Yneutral_j,843,0,NA,j,single,RG_incongruent,friend
42182,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,rhomboid,NA,happy,NA,Yneutral_j,635,1,NA,k,single,RG_incongruent,happy
42253,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,octagon,diamond,youneutral,NA,Yneutral_j,852,1,NA,j,pair,RG_incongruent,youneutral
42351,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,rhomboid,NA,happy,NA,Yneutral_j,619,1,NA,k,single,RG_incongruent,happy
42451,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,diamond,octagon,neutralyou,NA,Yneutral_j,429,1,NA,j,pair,RG_incongruent,neutralyou
42551,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,octagon,NA,you,NA,Yneutral_j,538,1,NA,j,single,RG_incongruent,you
42651,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,diamond,NA,neutral,NA,Yneutral_j,647,1,NA,j,single,RG_incongruent,neutral
42751,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,diamond,NA,neutral,NA,Yneutral_j,543,1,NA,j,single,RG_incongruent,neutral
42851,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,rhomboid,triangle,happyfriend,NA,Yneutral_j,553,0,NA,j,pair,RG_incongruent,happyfriend
42951,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,octagon,NA,you,NA,Yneutral_j,660,1,NA,j,single,RG_incongruent,you
43051,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,octagon,diamond,youneutral,NA,Yneutral_j,446,1,NA,j,pair,RG_incongruent,youneutral
43181,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,diamond,NA,neutral,NA,Yneutral_j,463,1,NA,j,single,RG_incongruent,neutral
43253,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,triangle,NA,friend,NA,Yneutral_j,379,0,NA,j,single,RG_incongruent,friend
43351,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,octagon,NA,you,NA,Yneutral_j,788,1,NA,j,single,RG_incongruent,you
43451,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,diamond,NA,neutral,NA,Yneutral_j,677,0,NA,k,single,RG_incongruent,neutral
